Classes,perc1985,perc1986,perc1987,perc1988,perc1989,perc1990,perc1991,perc1992,perc1993,perc1994,perc1995,perc1996,perc1997,perc1998,perc1999,perc2000,perc2001,perc2002,perc2003,perc2004,perc2005,perc2006,perc2007,perc2008,perc2009,perc2010,perc2011,perc2012,perc2013,perc2014,perc2015,perc2016,perc2017,perc2018,perc2019,perc2020,perc2021,perc2022
 1. Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Florestal 1.1. Forest Formation,85.884,85.881,85.865,85.857,85.764,85.851,85.844,85.826,85.824,85.806,85.825,85.82,85.806,85.811,85.804,85.833,85.834,85.822,85.812,85.806,85.813,85.807,85.79,85.795,85.785,85.781,85.778,85.761,85.758,85.744,85.722,85.715,85.705,85.692,85.672,85.657,85.64,85.59
 1.2. Savanna Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.3. Mangrove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.4 Floodable Forest (beta),10.823,10.808,10.799,10.778,10.638,10.828,10.818,10.808,10.811,10.798,10.861,10.869,10.868,10.893,10.907,10.982,10.991,10.985,10.985,10.989,11.005,11.009,11.0,11.014,11.01,11.022,11.024,11.021,11.035,11.035,11.016,11.014,11.027,11.032,11.007,10.999,10.922,10.576
 1.5. Wooded Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2. Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.1. Wetland,0.137,0.11,0.099,0.128,0.331,0.082,0.077,0.14,0.119,0.218,0.115,0.091,0.127,0.082,0.082,0.099,0.106,0.105,0.098,0.088,0.106,0.104,0.102,0.105,0.119,0.109,0.11,0.129,0.096,0.1,0.117,0.117,0.121,0.121,0.165,0.137,0.184,0.402
 2.2. Grassland,0.134,0.128,0.128,0.109,0.09,0.128,0.13,0.139,0.124,0.099,0.14,0.128,0.138,0.148,0.132,0.16,0.152,0.146,0.164,0.171,0.187,0.198,0.197,0.212,0.169,0.214,0.205,0.221,0.224,0.224,0.224,0.242,0.242,0.257,0.241,0.271,0.272,0.263
 2.3. Hypersaline Tidal Flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
